    44/299     9.48G   0.05585  0.006712         0   0.06257        67       640    0.4999    0.8571    0.5616    0.1379   0.09336  0.009363         0
    45/299     9.48G   0.05501  0.006301         0   0.06131        56       640    0.4435    0.5714    0.3444   0.08807   0.07001  0.009328         0
    46/299     9.48G   0.05516  0.007106         0   0.06227        69       640    0.6785    0.7143    0.5901    0.2291   0.06066   0.01024         0
    47/299     9.48G   0.04032  0.007807         0   0.04813        78       640    0.7194     0.619    0.5478    0.2317   0.06453   0.01025         0
    48/299     9.48G    0.0631  0.006977         0   0.07008        67       640    0.7206    0.6143    0.6289    0.2078   0.06543   0.01014         0
    49/299     9.48G   0.04733  0.006678         0   0.05401        62       640      0.68    0.5238    0.5387    0.2247   0.06468   0.01008         0
    50/299     9.48G   0.06413  0.006693         0   0.07082        64       640    0.6665    0.5709    0.5821    0.2957   0.06681    0.0101         0
    51/299     9.48G   0.04196  0.006495         0   0.04845        66       640     0.699    0.6638    0.6961    0.3087   0.07154   0.01033         0
    52/299     9.48G   0.05225  0.006952         0   0.05921        70       640    0.6652    0.6667    0.7365    0.2361   0.07535   0.01034         0
    53/299     9.48G   0.05924  0.006992         0   0.06623        72       640    0.9332    0.6653    0.8162    0.3314   0.07703   0.01042         0
    54/299     9.48G   0.05189  0.007049         0   0.05894        64       640    0.7365    0.8095    0.8149    0.3632   0.07833   0.01055         0
    55/299     9.48G   0.06058  0.006548         0   0.06713        60       640    0.7775    0.6667    0.7355    0.2915   0.07538    0.0106         0
    56/299     9.48G   0.04473  0.006872         0    0.0516        71       640    0.8822    0.7619    0.8433    0.3576   0.07457   0.01046         0
    57/299     9.48G   0.03522  0.006176         0   0.04139        60       640    0.9213    0.5714     0.714    0.3139   0.07607   0.01037         0
    58/299     9.48G   0.07231  0.006864         0   0.07918        77       640    0.7762    0.3333    0.4422    0.1582   0.08626  0.009648         0
    59/299     9.48G   0.07192  0.006696         0   0.07862        71       640    0.8662     0.619    0.7497    0.3167   0.08545  0.009622         0
    60/299     9.48G    0.0717  0.006468         0   0.07817        64       640    0.8431    0.5238    0.5875    0.1192   0.09264  0.009866         0
    61/299     9.48G   0.05532  0.006395         0   0.06171        74       640    0.8545    0.5714    0.6229    0.3101   0.08829   0.01059         0
    62/299     9.48G   0.04136  0.006693         0   0.04806        67       640    0.8802     0.381    0.5284    0.1585   0.09155   0.01043         0
    63/299     9.48G   0.06423  0.006726         0   0.07096        78       640    0.7678    0.4762    0.6021    0.2334    0.0902   0.01052         0
    64/299     9.48G   0.04114  0.006425         0   0.04756        67       640    0.6954    0.6667     0.751    0.3885   0.08631   0.01073         0
    65/299     9.48G   0.07235  0.006255         0   0.07861        49       640    0.7591    0.7505    0.7354    0.3723   0.08405    0.0106         0
    66/299     9.48G    0.0403  0.006903         0    0.0472        64       640    0.8493    0.8056    0.7705    0.4324   0.08179   0.01046         0
    67/299     9.48G   0.04951  0.006839         0   0.05635        70       640    0.8473    0.8095     0.808    0.4397   0.08129   0.01019         0
    68/299     9.48G   0.02826   0.00642         0   0.03468        66       640    0.8982    0.8571    0.8873    0.4772   0.07947    0.0101         0
    69/299     9.48G   0.04753  0.006493         0   0.05403        66       640    0.9408    0.7619    0.8805    0.4665   0.07835  0.009804         0
    70/299     9.48G   0.04696  0.006523         0   0.05348        66       640    0.9473    0.8565    0.9079    0.5381   0.07746  0.009293         0
    71/299     9.48G   0.04854  0.006127         0   0.05467        62       640    0.9989    0.8095    0.9265    0.5451   0.07587  0.009166         0
    72/299     9.48G   0.02811  0.006309         0   0.03441        64       640    0.5859    0.9048    0.7344    0.2597   0.07702  0.009174         0
    73/299     9.48G   0.04165  0.005965         0   0.04761        63       640    0.8499    0.8091    0.8966    0.1687   0.07835  0.008929         0
    74/299     9.48G   0.05199  0.006255         0   0.05825        68       640    0.7198    0.8571    0.8444    0.3996   0.07678  0.008931         0
