    51/599     5.82G   0.04291  0.005198         0   0.04811        26       640    0.9767    0.9348    0.9842    0.6993   0.08101  0.006706         0
    52/599     5.82G   0.02158  0.004809         0   0.02639        21       640    0.9767    0.9126    0.9773    0.7078   0.07987  0.006856         0
    53/599     5.82G   0.03138  0.005669         0   0.03705        26       640    0.9997     0.913    0.9817    0.6305   0.07895  0.006779         0
    54/599     5.82G   0.02069  0.004768         0   0.02546        13       640    0.9997    0.9348    0.9859    0.7295   0.07999   0.00659         0
    55/599     5.82G   0.04167  0.004793         0   0.04646        24       640    0.9778    0.9561     0.987    0.6978   0.08395  0.006359         0
    56/599     5.82G   0.02217  0.005001         0   0.02717        29       640         1    0.9561    0.9894    0.6983   0.08102  0.006555         0
    57/599     5.82G   0.03072  0.005233         0   0.03595        33       640    0.9987    0.9565     0.987    0.5987   0.08483  0.006075         0
    58/599     5.82G   0.02084  0.004386         0   0.02523        16       640    0.9994    0.9565    0.9891    0.6639   0.08032  0.006256         0
    59/599     5.82G   0.01907  0.004744         0   0.02382        21       640         1    0.9556    0.9897    0.7529   0.07893   0.00613         0
    60/599     5.82G   0.02176  0.004313         0   0.02607        21       640         1     0.977    0.9912    0.6751   0.08014  0.006144         0
    61/599     5.82G   0.02249  0.004711         0    0.0272        25       640     0.978    0.9783    0.9934    0.6348   0.08023  0.006182         0
    62/599     5.82G   0.03035  0.005241         0   0.03559        26       640    0.9783    0.9782    0.9922    0.6799   0.08048  0.005912         0
    63/599     5.82G   0.03079  0.004454         0   0.03524        28       640    0.9774    0.9565    0.9895    0.7293    0.0805  0.005754         0
    64/599     5.82G   0.01957  0.004307         0   0.02388        28       640    0.9778    0.9562     0.966    0.6705   0.08312  0.005505         0
    65/599     5.82G   0.03003  0.004607         0   0.03464        18       640    0.9749     0.913    0.9825    0.7553   0.07947  0.005657         0
    66/599     5.82G   0.03178  0.004682         0   0.03647        25       640     0.888    0.8696     0.957    0.7308   0.08083  0.005577         0
    67/599     5.82G   0.02944  0.004122         0   0.03356        17       640    0.9333    0.9127     0.973    0.6888   0.07949  0.005771         0
    68/599     5.82G   0.01983  0.004478         0   0.02431        22       640    0.9773    0.9339    0.9844    0.6437    0.0802  0.005791         0
    69/599     5.82G   0.01994  0.004552         0   0.02449        23       640         1    0.9554     0.993    0.7405   0.07949   0.00573         0
    70/599     5.82G   0.02028  0.004853         0   0.02514        26       640    0.9783    0.9778     0.992    0.7922   0.07878  0.005638         0
    71/599     5.82G   0.02006  0.003848         0   0.02391        16       640    0.9783    0.9779    0.9825    0.7443   0.07889  0.005581         0
    72/599     5.82G   0.02967  0.004335         0   0.03401        27       640    0.9776    0.9565    0.9783    0.7756   0.07794  0.005753         0
    73/599     5.82G   0.01843  0.004177         0   0.02261        24       640    0.9998    0.9783    0.9931    0.8227   0.07693   0.00574         0
    74/599     5.82G   0.03683  0.004086         0   0.04091        20       640    0.9783    0.9782    0.9884    0.7729   0.07759  0.005624         0
    75/599     5.82G   0.02839  0.003824         0   0.03221        18       640    0.7752    0.9783    0.9045    0.6987   0.07917  0.005952         0
    76/599     5.82G    0.0227  0.004264         0   0.02697        29       640    0.7027    0.9783    0.8584    0.5794   0.08075  0.006063         0
    77/599     5.82G    0.0201  0.004093         0    0.0242        23       640     0.603    0.8261    0.7776    0.5067   0.08603  0.006337         0
    78/599     5.82G   0.04105  0.004507         0   0.04556        31       640    0.7928     0.587    0.6952    0.3969   0.08937   0.00633         0
